Latitude,Longitude,Hour,DayOfWeek,Month,PartOfDay,Police Station,Type_encoded
12.884996,77.580771,0,3,10,3,14,1
12.88840833,77.59361111,11,5,1,2,14,1
12.90121944,77.59055556,16,0,3,0,14,1
12.903028,77.590791,11,3,7,2,14,1
12.88985,77.59277778,13,5,1,0,14,1
12.894823,77.59862,12,2,2,0,14,1
12.90393889,77.5825,12,6,4,0,14,1
12.535581,77.354721,14,0,10,0,14,1
12.893183,77.572113,18,4,3,1,14,1
12.904658,77.58838,10,1,7,2,14,1
12.88087,77.5855,13,2,7,0,14,1
12.889763,77.585588,10,6,11,2,14,1
12.90861344,77.56138748,10,1,7,2,14,1
12.91557199,77.57321559,12,1,9,0,14,1
12.91340907,77.57083405,11,0,5,2,14,1
12.90617125,77.56984584,12,2,6,0,14,1
12.90356171,77.5595982,0,3,6,3,14,1
12.89281339,77.56663005,0,1,9,3,14,1
12.91082185,77.56824521,0,6,9,3,14,1
12.91241826,77.56410484,18,5,10,1,14,1
12.90114947,77.57064657,0,3,11,3,14,1
12.91082185,77.56824521,0,6,11,3,14,1
12.90945342,77.56509517,2,4,11,3,14,1
12.91141981,77.56207686,9,3,3,2,14,1
12.90852035,77.57252653,12,4,3,0,14,1
12.91230643,77.56706104,0,1,11,3,14,1
12.936359,77.354721,19,3,2,1,14,1
12.936275,77.550704,19,1,12,1,14,1
12.555043,77.322021,10,1,11,2,14,1
12.560156,77.320937,20,1,11,1,14,1
12.945085,77.548612,12,0,7,0,14,1
12.943637,77.844691,14,5,3,0,14,1
12.938298,77.544986,12,1,3,0,14,1
12.931394,77.544233,19,0,3,1,14,1
12.939574,77.542507,17,0,6,1,14,1
12.941095,77.553129,12,6,8,0,14,1
12.9578264,77.55941741,18,0,11,1,14,1
12.9578264,77.55941741,17,5,2,1,14,1
12.94983,77.56041,16,2,8,0,14,1
12.9556,77.56883,8,6,8,2,14,1
12.95206739,77.57928102,16,6,10,0,14,1
12.95206739,77.57928102,12,5,9,0,14,1
12.96299087,77.57215462,12,5,2,0,14,1
12.95428659,77.57768197,11,6,5,2,14,1
12.9532178,77.5777217,13,0,9,0,14,1
12.96212533,77.57157822,10,5,1,2,14,1
12.94253,77.55534,13,6,1,0,14,1
12.94176,77.55656,11,1,4,2,14,1
12.93526,77.56042,11,3,8,2,14,1
12.943648,77.549789,12,0,12,0,14,1
12.9422,77.552401,10,0,11,2,14,1
12.930861,77.554069,20,4,1,1,14,1
12.926837,77.544735,8,3,3,2,14,1
12.924688,77.548142,8,2,1,2,14,1
12.930228,77.547624,23,0,4,3,14,1
12.924729,77.558486,7,4,7,2,14,1
12.929702,77.553766,18,1,8,1,14,1
12.9212651,77.54999552,11,6,8,2,14,1
12.2553,77.552298,11,5,9,2,14,1
12.932284,77.54988,10,6,5,2,14,1
12.929298,77.54597,9,1,9,2,14,1
12.926366,77.549813,0,0,10,3,14,1
12.92256,77.58698,12,4,1,0,14,8
12.92746121,77.58628835,19,4,1,1,14,8
12.93692755,77.57899468,20,4,4,1,14,8
12.934423,77.592768,13,6,9,0,14,8
12.91856,77.58466,18,5,3,1,14,8
12.947111,77.594474,19,4,9,1,14,8
12.929333,77.58168,19,2,3,1,14,8
12.952429,77.543605,20,2,7,1,14,8
12.9388,77.859975,21,2,7,3,14,8
12.919098,77.589485,13,6,4,0,14,8
12.912976,77.573242,15,1,1,0,14,8
12.552347,77.35059,0,4,2,3,14,8
12.946444,77.579988,11,4,2,2,14,8
12.928613,77.585359,11,0,6,2,14,8
12.918025,77.58835,17,0,5,1,14,8
12.930433,77.549761,19,5,5,1,14,8
12.924603,77.588906,13,2,5,0,14,8
12.93349,77.576628,13,0,3,0,14,8
12.928613,77.585359,13,4,6,0,14,8
12.927136,77.5907,14,5,7,0,14,8
12.926523,77.579647,19,6,7,1,14,8
12.916757,77.593434,21,2,5,3,14,8
12.909694,77.634426,17,4,7,1,14,8
12.265842,77.248562,14,5,9,0,14,8
12.91756,77.58486,16,6,9,0,14,8
12.922536,77.587568,20,4,12,1,14,8
12.92253,77.585898,12,3,10,0,14,8
12.918028,77.58842,20,3,10,1,14,8
12.922535,77.58565,18,2,11,1,14,8
12.95645,77.786586,9,5,12,2,14,8
12.93443,77.592708,13,4,7,0,14,8
12.9165885,77.589965,13,6,9,0,14,8
12.931988,77.590196,13,2,1,0,14,8
12.931921,77.58029,10,4,5,2,14,8
12.88605,77.494843,13,0,6,0,14,8
13.05669,77.6256687,19,6,4,1,14,8
12.919774,77.577703,15,5,12,0,14,8
12.928613,77.585359,14,0,10,0,14,8
12.93192,77.58016,13,2,11,0,14,8
12.88605,77.494843,4,2,9,3,14,8
12.93192,77.580106,19,4,11,1,14,8
12.924857,77.583759,11,5,3,2,14,8
12.92885,77.5785,15,1,6,0,14,8
12.9273,77.57806,16,3,1,0,14,8
12.930535,77.586997,17,1,3,1,14,8
12.928613,77.585359,12,6,4,0,14,8
12.934891,77.581991,14,4,2,0,14,8
12.936652,77.576437,15,6,7,0,14,8
12.923852,77.576402,19,4,1,1,14,8
12.93067,77.581281,21,0,1,3,14,8
12.923852,77.576402,12,5,3,0,14,8
12.923852,77.576402,17,4,9,1,14,8
12.930397,77.585753,11,5,8,2,14,8
12.919817,77.58481,19,4,4,1,14,8
